,strDrink,idDrink,strDrinkAlternate,strDrinkES,strDrinkDE,strDrinkFR,strDrinkZH-HANS,strDrinkZH-HANT,strTags,strVideo,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strInstructionsES,strInstructionsDE,strInstructionsFR,strInstructionsZH-HANS,strInstructionsZH-HANT,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strCreativeCommonsConfirmed,dateModified
251,Strawberry Margarita,12322,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Rub rim of cocktail glass with lemon juice and dip rim in salt. Shake schnapps, tequila, triple sec, lemon juice, and strawberries with ice, strain into the salt-rimmed glass, and serve.",,"Cocktailglasrand mit Zitronensaft und Tauchrand in Salz wenden. Schnaps, Tequila, Triple-Sec, Zitronensaft und Erdbeeren mit Eis schütteln, in das salzige Glas sieben und servieren.",,,,Strawberry schnapps,Tequila,Triple sec,Lemon juice,Strawberries,Salt,,,,,,,,,,1/2 oz ,1 oz ,1/2 oz ,1 oz ,1 oz ,,,,,,,,,,,No,2015-08-18 14:41:51
252,Tequila Fizz,12362,,,,,,,,,Ordinary Drink,,Alcoholic,Collins glass,"Shake all ingredients (except ginger ale) with ice and strain into a collins glass over ice cubes. Fill with ginger ale, stir, and serve.",,"Alle Zutaten (außer Ginger Ale) mit Eis schütteln und in ein Collins-Glas über Eiswürfel abseihen. Mit Ginger Ale füllen, umrühren und servieren.",,,,Tequila,Lemon juice,Grenadine,Egg white,Ginger ale,,,,,,,,,,,2 oz ,1 tblsp ,3/4 oz ,1 ,,,,,,,,,,,,No,2017-09-08 17:53:57
253,Tequila Slammer,178307,,,,,,,,,Shot,,Alcoholic,Hurricane glass,Mix carefully to avoid releasing the dissolved CO2.,,,,,,Tequila,7-up,,,,,,,,,,,,,,1 shot,1 part,,,,,,,,,,,,,,No,
254,Tequila Sour,12370,,,,,,,,,Ordinary Drink,,Alcoholic,Whiskey sour glass,"Shake tequila, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Add the half-slice of lemon, top with the cherry, and serve.",,"Tequila, Zitronensaft und Puderzucker mit Eis schütteln und in ein Whiskey-Sourglas abseihen. Die halbe Zitronenscheibe dazugeben, mit der Kirsche garnieren und servieren.",,,,Tequila,Lemon,Powdered sugar,Lemon,Cherry,,,,,,,,,,,2 oz ,Juice of 1/2 ,1 tsp ,1/2 slice ,1 ,,,,,,,,,,,No,2017-09-07 22:43:21
255,Tequila Sunrise,13621,,,,,,,"IBA,ContemporaryClassic",,Cocktail,Contemporary Classics,Alcoholic,Highball glass,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve.",,"Den Tequila und den Orangensaft in ein Glas über Eis gießen. Füge die Grenadine hinzu, die auf den Boden sinken wird. Rühren Sie sanft um, um den Sonnenaufgangseffekt zu erzeugen. Garnieren und servieren.",,,,Tequila,Orange juice,Grenadine,,,,,,,,,,,,,2 measures ,,,,,,,,,,,,,,,No,2016-12-04 19:18:23
256,Tequila Surprise,14602,,,,,,,,,Shot,,Alcoholic,Shot glass,Fill shot glass with Tequila. Add drops of Tobasco sauce.,,Füllen Sie das Schnapsglas mit Tequila. Füge Tropfen Tobasco-Sauce hinzu.,,,,Tequila,Tabasco sauce,,,,,,,,,,,,,,full glass ,About 8 drops ,,,,,,,,,,,,,,No,2017-09-06 23:06:21
257,Tommy's Margarita,17216,,,,,,,"IBA,NewEra",,Ordinary Drink,New Era Drinks,Alcoholic,Old-Fashioned glass,Shake and strain into a chilled cocktail glass.,,Schütteln und in ein gekühltes Cocktailglas abseihen.,,,,Tequila,Lime Juice,Agave syrup,,,,,,,,,,,,,4.5 cl,1.5 cl,2 spoons,,,,,,,,,,,,,No,2017-09-02 18:37:54
258,Vampiro,17217,,,,,,,"IBA,NewEra",,Ordinary Drink,New Era Drinks,Alcoholic,Old-Fashioned glass,"Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first ""rim"" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended.",,"Vampiros können in einem hohen Glas oder einem old fashioned Glas zubereitet werden. Der Barkeeper kann das Glas zuerst mit Koscher-Salz ""umsäumen"", indem er eine Schicht Koscher-Salz auf ein Schneidebrett legt, den Glasrand mit Limettensaft oder Wasser anfeuchtet und dann den umgedrehten Glasrand auf das Koscher-Salz legt, so dass das Salz am angefeuchteten Rand haftet. Der zweite Schritt ist, das halbe Glas mit Eis zu füllen und ein oder zwei Schaugläser mit hochwertigem Tequila hinzuzufügen. Im nächsten Schritt werden die Aromastoffe hinzugefügt. Dazu wird eine frische Limette in das Glas gepresst, einige Salzkörner hinzugefügt, zitrusartiges Natron, bis das Glas 4/5 voll ist, und dann würziges Viuda de Sanchez (oder Orangensaft, Limettensaft und pico de gallo) hinzugefügt. Der letzte Schritt ist, die Zutaten so zu rühren, dass die Aromen richtig vermischt werden.",,,,Tequila,Tomato Juice,Orange Juice,Lime Juice,Sugar Syrup,Salt,,,,,,,,,,6 cl,3 cl,3 cl,1.5 cl,1 dash,1 pinch,,,,,,,,,,No,2017-09-02 18:44:06
259,Whitecap Margarita,16158,,,,,,,,,Other/Unknown,,Alcoholic,Margarita/Coupette glass,Place all ingredients in a blender and blend until smooth. This makes one drink.,,Alle Zutaten in einen Mixer geben und mischen.,,,,Ice,Tequila,Cream of coconut,Lime juice,,,,,,,,,,,,1 cup ,2 oz ,1/4 cup ,3 tblsp fresh ,,,,,,,,,,,,No,2015-09-02 17:00:22
260,Adios Amigos Cocktail,17229,,,,,,,,,Cocktail,,Alcoholic,Martini Glass,Shake together all the ingredients and strain into a cold glass.,,Alle Zutaten vermengen und in ein kaltes Glas abseihen.,,,,Rum,Dry Vermouth,Cognac,Gin,Fresh Lime Juice,Sugar Syrup,Water,,,,,,,,,1 shot ,1/2 shot ,1/2 shot ,1/2 shot ,1/4 shot,1/4 shot,1/2 shot ,,,,,,,,,No,2017-09-07 22:31:33
261,Bahama Mama,17267,,,,,,,,,Cocktail,,Alcoholic,Highball glass,"Add 2 parts club soda or more or less to taste.

Mix it all together and pour over a bunch of ice. Drink with a straw.",,Füge 2 Teile Club-Soda oder mehr oder weniger nach Belieben hinzu. Alles zusammen mischen und über reichlich Eis gießen. Trink mit einem Strohhalm.,,,,Rum,Dark Rum,Banana liqueur,Grenadine,Pineapple Juice,Orange Juice,Sweet and Sour,,,,,,,,,3 parts,1 part,1 part,1 part,2 parts,2 parts,1 part,,,,,,,,,No,2018-01-12 21:42:19
262,Barracuda,17209,,,,,,,"IBA,NewEra",,Ordinary Drink,New Era Drinks,Alcoholic,Margarita glass,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.",,"Schütteln Sie die Zutaten mit Eis. In ein Glas abseihen, mit Sekt übergießen.",,,,Rum,Galliano,Pineapple Juice,Lime Juice,Prosecco,,,,,,,,,,,4.5 cl,1.5 cl,6 cl, 1 dash,top up ,,,,,,,,,,,No,2017-09-02 18:12:17
263,Blue Hurricane,17268,,,,,,,,,Cocktail,,Alcoholic,Highball glass,"If each part is 1/2 oz then use about 2.5 cups of ice.

Blend it all together. 
Drink it with a big straw if you have one.

",,"Wenn jedes Teil 1,5 cl. ist, dann verwenden Sie etwa 2,5 Tassen Eis. Alles zusammenmischen. Trink es mit einem großen Strohhalm, wenn du einen hast.",,,,Rum,Dark Rum,Passoa,Blue Curacao,Sweet and Sour,Ice,,,,,,,,,,4 parts,2 parts,1 part,1 part,6 parts,cubes,,,,,,,,,,No,2018-01-12 22:23:42
264,Espresso Rumtini,178309,,,,,,,"DinnerParty,StrongFlavor",,Cocktail,,Alcoholic,Cocktail glass,Mix together in a cocktail glass. Garnish with some choclate powder and coffee beans,,,,,,Rum,Vanilla syrup,Espresso,Coffee,,,,,,,,,,,,1 shot,1/2 shot,1 shot,1 shot,,,,,,,,,,,,Yes,
265,Hemingway Special,17201,,,,,,,"IBA,ContemporaryClassic",,Ordinary Drink,Contemporary Classics,Alcoholic,Cocktail glass,Pour all ingredients into a shaker with ice. Shake.,,Alle Zutaten in einen Shaker mit Eis geben. Schütteln.,,,,Rum,Grapefruit Juice,Maraschino Liqueur,Lime Juice,,,,,,,,,,,,12 parts,8 parts,3 parts,3 parts,,,,,,,,,,,,No,2017-09-02 17:31:28
266,Jamaican Coffee,15825,,,,,,,,,Coffee / Tea,,Alcoholic,Champagne flute,"Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw.",,"Rum, Kaffee und Wasser miteinander verrühren. Mit der geschlagenen Sahne bedecken. Mit einer Prise gut gemahlenem Kaffee bestreuen und mit einem Strohhalm trinken.",,,,Rum,Coffee,Water,Whipped cream,,,,,,,,,,,,1/6 glass ,1/6 glass strong black ,1/2 glass cold ,,,,,,,,,,,,,No,2015-09-03 03:27:37
267,Rum Cooler,12071,,,,,,,,,Ordinary Drink,,Alcoholic,Collins glass,Pour the rum and soda into a collins glass almost filled with ice cubes. Stir well and garnish with the lemon wedge.,,"Den Rum und das Soda in ein Collins-Glas gießen, das fast mit Eiswürfeln gefüllt ist. Gut umrühren und mit dem Zitronenkeil garnieren.",,,,Rum,Lemon-lime soda,Lemon,,,,,,,,,,,,,2 oz light or dark ,4 oz ,1 ,,,,,,,,,,,,,No,2017-09-08 17:37:54
268,Rum Punch,14978,,,,,,,,,Punch / Party Drink,,Alcoholic,Punch bowl,Mix all ingredients in a punch bowl and serve.,,Alle Zutaten in einer Bowle mischen und servieren.,,,,Rum,Ginger ale,Fruit punch,Orange juice,Ice,,,,,,,,,,,mikey bottle ,large bottle ,355 ml frozen ,355 ml frozen ,crushed ,,,,,,,,,,,No,2015-09-06 16:48:58
269,Rum Toddy,12097,,,,,,,,,Ordinary Drink,,Alcoholic,Old-fashioned glass,Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.,,Puderzucker in Wasser in einem old-fashioned Glas auflösen. Rum und einen Eiswürfel dazugeben und umrühren. Die Zitronenschale hinzufügen und servieren.,,,,Rum,Powdered sugar,Lemon peel,Water,,,,,,,,,,,,2 oz light or dark ,2 tsp ,1 twist of ,2 tsp ,,,,,,,,,,,,No,2017-09-08 16:58:06
270,Spice 75,178322,,,,,,,Christmas,,Cocktail,,Alcoholic,Wine Glass,"Gently warm 60g golden caster sugar in a pan with 30ml water and 1 tbsp allspice. Cook gently until the sugar has dissolved, then leave the mixture to cool. Strain through a sieve lined with a coffee filter (or a double layer of kitchen paper).

Pour 60ml of the spiced syrup into a cocktail shaker along with 200ml rum and 90ml lime juice. Shake with ice and strain between six flute glasses. Top up with 600ml champagne and garnish each with an orange twist.",,,,,,Sugar,Allspice,Rum,Lime Juice,Champagne,Orange spiral,,,,,,,,,,60 ml,1 tblsp,20 cl,90 ml,6 cl,Garnish with,,,,,,,,,,No,
271,Zippy's Revenge,14065,,,,,,,,,Cocktail,,Alcoholic,Old-fashioned glass,Mix Kool-Aid to taste then add Rum and ammaretto. shake well to disolve the sugar in the Kool-Aid... serve cold,,"Kool-Aid nach Belieben mischen, dann Rum und Ammaretto hinzufügen. Gut schütteln, um den Zucker in der Kool-Aid aufzulösen.... kalt servieren.",,,,Amaretto,Rum,Kool-Aid,,,,,,,,,,,,,2 oz ,2 oz ,4 oz Grape ,,,,,,,,,,,,,No,2017-01-28 16:18:33
272,Zombie,17241,,,,,,,,,Cocktail,,Alcoholic,Hurricane glass,"
Blend at high speed for no more than 5 seconds.

Pour into a glass, add ice cubes to fill, then add the garnish.

*Donn’s mix: Bring 3 crushed cinnamon sticks, 1 cup of sugar and 1 cup of water to a boil, stirring until the sugar is dissolved.

Simmer for 2 minutes, then remove from the heat and let sit for at least 2 hours before straining into a clean glass bottle.

Then add 1 part of the syrup and 2 parts of fresh grapefruit juice together.",,"Mixen Sie mit hoher Geschwindigkeit für nicht mehr als 5 Sekunden. In ein Glas gießen, Eiswürfel zum Füllen hinzufügen, dann die Garnitur hinzufügen. *Donnas Mix: 3 zerdrückte Zimtstangen, 1 Tasse Zucker und 1 Tasse Wasser unter Rühren zum Kochen bringen, bis der Zucker gelöst ist. 2 Minuten köcheln lassen, dann vom Herd nehmen und mindestens 2 Stunden ruhen lassen, bevor man in eine saubere Glasflasche abseiht. Dann 1 Teil des Sirups und 2 Teile frischen Grapefruitsaft dazugeben.",,,,Rum,Gold rum,151 proof rum,Pernod,Grenadine,Lime Juice,Angostura Bitters,,,,,,,,,1 1/2 oz,1 1/2 oz,1 oz,1 tsp,1 tsp,1 tsp,1 drop,,,,,,,,,No,2017-11-01 17:35:26
273,Amaretto Shake,15194,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Combine all ingredients in a blender and blend at high speed until smooth. Serve in chilled glass garnished with bittersweet chocolate shavings.,,"Alle Zutaten in einem Mixer mischen und mit hoher Geschwindigkeit zu einem geschmeidigen Ganzen verarbeiten. Servieren Sie es in gekühltem Glas, garniert mit bittersüßen Schokoladenraspeln.",,,,Chocolate ice-cream,Brandy,Amaretto,,,,,,,,,,,,,2 scoops ,2 oz ,2 oz ,,,,,,,,,,,,,No,2017-04-24 22:34:16
274,Between The Sheets,17184,,,,,,,"IBA,Classic",,Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,"Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.",,"Alle Zutaten in den Shaker mit Eiswürfeln geben, schütteln, in ein gekühltes Cocktailglas abseihen.",,,,Brandy,Light rum,Triple sec,Lemon juice,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,No,2017-09-02 11:32:26
275,Boston Sidecar,11128,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",,"Alle Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.",,,,Light rum,Brandy,Triple sec,Lime,,,,,,,,,,,,3/4 oz ,3/4 oz ,3/4 oz ,Juice of 1/2 ,,,,,,,,,,,,No,2017-09-02 16:26:02
276,Brandy Alexander,11016,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,Shake all ingredients (except nutmeg) with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,,Alle Zutaten (außer Muskatnuss) mit Eis schütteln und in ein Cocktailglas abseihen. Muskatnuss darüber streuen und servieren.,,,,Brandy,Creme de Cacao,Light cream,Nutmeg,,,,,,,,,,,,1 oz ,1 oz white ,1 oz ,,,,,,,,,,,,,No,2017-01-02 20:09:06
277,Brandy Flip,11164,,,,,,,,,Ordinary Drink,,Alcoholic,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the brandy, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg.",,"In einem Shaker, der halb mit Eiswürfeln gefüllt ist, Brandy, Ei, Zucker und Sahne vermengen. Gut schütteln. In ein Sour Glas abseihen und mit der Muskatnuss garnieren.",,,,Brandy,Egg,Sugar,Light cream,Nutmeg,,,,,,,,,,,2 oz ,1 whole ,1 tsp superfine ,1/2 oz ,1/8 tsp grated ,,,,,,,,,,,No,2017-09-02 16:34:21
278,Brandy Sour,11170,,,,,,,,,Ordinary Drink,,Alcoholic,Whiskey sour glass,"Shake brandy, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with the lemon slice, top with the cherry, and serve.",,"Brandy, Zitronensaft und Puderzucker mit Eis schütteln und in ein Whiskey Sour Glas abseihen. Mit der Zitronenscheibe dekorieren, mit der Kirsche garnieren und servieren.",,,,Brandy,Lemon,Powdered sugar,Lemon,Cherry,,,,,,,,,,,2 oz ,Juice of 1/2 ,1/2 tsp ,1/2 slice ,1 ,,,,,,,,,,,Yes,2017-09-02 16:35:40
279,City Slicker,11251,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",,"In einem Shaker, der halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut schütteln. In ein Cocktailglas abseihen.",,,,Brandy,Triple sec,Lemon juice,,,,,,,,,,,,,2 oz ,1/2 oz ,1 tblsp ,,,,,,,,,,,,,No,2017-09-02 16:42:29
280,Horse's Neck,17202,,,,,,,"IBA,ContemporaryClassic",,Ordinary Drink,Contemporary Classics,Alcoholic,Highball glass,"Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter.",,Gießen Sie Brandy und Ginger Ale direkt in das Highball-Glas mit Eiswürfeln. Vorsichtig umrühren. Mit Zitronenschale garnieren. Auf Wunsch können Sie auch Spritzer von Angostura Bitter hinzufügen.,,,,Lemon peel,Brandy,Ginger ale,Bitters,,,,,,,,,,,,1 long strip ,2 oz ,5 oz ,2 dashes ,,,,,,,,,,,,No,2017-09-02 17:34:52
281,Kioki Coffee,16951,,,,,,,,,Coffee / Tea,,Alcoholic,Coffee mug,Stir. Add whipped cream to the top.,,Rühren. Die geschlagene Sahne dazugeben.,,,,Kahlua,Brandy,Coffee,,,,,,,,,,,,,1 oz ,1/2 oz ,,,,,,,,,,,,,,No,2015-09-03 03:29:34
282,Mississippi Planters Punch,11786,,,,,,,,,Ordinary Drink,,Alcoholic,Collins glass,"Shake all ingredients (except carbonated water) with ice and strain into a collins glass over ice cubes. Fill with carbonated water, stir, and serve.",,"Alle Zutaten (außer kohlensäurehaltigem Wasser) mit Eis schütteln und in ein Collins-Glas über Eiswürfel abseihen. Mit kohlensäurehaltigem Wasser auffüllen, umrühren und servieren.",,,,Brandy,Light rum,Bourbon,Lemon,Powdered sugar,Carbonated water,,,,,,,,,,1 oz ,1/2 oz ,1/2 oz ,Juice of 1/2,1 tblsp,,,,,,,,,,,No,2015-08-18 15:18:51
283,Port Wine Cocktail,11963,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Stir ingredients with ice, strain into a cocktail glass, and serve.",,"Zutaten mit Eis verrühren, in ein Cocktailglas abseihen und servieren.",,,,Port,Brandy,,,,,,,,,,,,,,2 1/2 oz ,1/2 tsp ,,,,,,,,,,,,,,No,2015-09-06 16:39:36
284,Porto flip,17192,,,,,,,"IBA,Classic",,Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,"Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve.",,"Die Zutaten in einem Mixer mit Eis verrühren. In ein Glas abseihen, garnieren und servieren.",,,,Brandy,Port,Egg Yolk,,,,,,,,,,,,,3 parts,9 parts,2 parts,,,,,,,,,,,,,No,2017-09-02 12:25:18
285,Quaker's Cocktail,11983,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",,"Alle Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.",,,,Light rum,Brandy,Lemon,Raspberry syrup,,,,,,,,,,,,3/4 oz ,3/4 oz ,Juice of 1/4 ,2 tsp ,,,,,,,,,,,,No,2016-11-12 14:51:54
286,Scooter,12130,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve.",,"Alle Zutaten gut mit gebrochenem Eis schütteln, in ein Cocktailglas abseihen und servieren.",,,,Brandy,Amaretto,Light cream,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,,No,2017-01-02 20:18:27
287,Scotch Cobbler,12138,,,,,,,,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"Pour scotch, brandy, and curacao over ice in an old-fashioned glass. Add the orange slice, top with the mint sprig, and serve.",,"Gießen Sie Scotch, Brandy und Curacao in einem old-fashioned Glas über Eis. Die Orangenscheibe dazugeben, mit dem Minzzweig garnieren und servieren.",,,,Scotch,Brandy,Curacao,Orange,Mint,,,,,,,,,,,2 oz ,4 dashes ,4 dashes ,1 slice ,1 ,,,,,,,,,,,No,2017-09-06 23:17:07
288,Scotch Cobbler,12138,,,,,,,,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"Pour scotch, brandy, and curacao over ice in an old-fashioned glass. Add the orange slice, top with the mint sprig, and serve.",,"Gießen Sie Scotch, Brandy und Curacao in einem old-fashioned Glas über Eis. Die Orangenscheibe dazugeben, mit dem Minzzweig garnieren und servieren.",,,,Scotch,Brandy,Curacao,Orange,Mint,,,,,,,,,,,2 oz ,4 dashes ,4 dashes ,1 slice ,1 ,,,,,,,,,,,No,2017-09-06 23:17:07
289,Scotch Cobbler,12138,,,,,,,,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"Pour scotch, brandy, and curacao over ice in an old-fashioned glass. Add the orange slice, top with the mint sprig, and serve.",,"Gießen Sie Scotch, Brandy und Curacao in einem old-fashioned Glas über Eis. Die Orangenscheibe dazugeben, mit dem Minzzweig garnieren und servieren.",,,,Scotch,Brandy,Curacao,Orange,Mint,,,,,,,,,,,2 oz ,4 dashes ,4 dashes ,1 slice ,1 ,,,,,,,,,,,No,2017-09-06 23:17:07
290,Scotch Cobbler,12138,,,,,,,,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"Pour scotch, brandy, and curacao over ice in an old-fashioned glass. Add the orange slice, top with the mint sprig, and serve.",,"Gießen Sie Scotch, Brandy und Curacao in einem old-fashioned Glas über Eis. Die Orangenscheibe dazugeben, mit dem Minzzweig garnieren und servieren.",,,,Scotch,Brandy,Curacao,Orange,Mint,,,,,,,,,,,2 oz ,4 dashes ,4 dashes ,1 slice ,1 ,,,,,,,,,,,No,2017-09-06 23:17:07
291,Sidecar Cocktail,12198,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",,"Alle Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.",,,,Brandy,Triple sec,Lemon,,,,,,,,,,,,,1 oz ,1/2 oz ,Juice of 1/4 ,,,,,,,,,,,,,No,2017-09-07 22:40:28
292,Sol Y Sombra,12256,,,,,,,,,Ordinary Drink,,Alcoholic,Brandy snifter,"Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)",,"Die Zutaten mit Eis schütteln, in ein Brandyglas abseihen und servieren. (Die englische Übersetzung des Namens dieses Getränks lautet ""Sonne und Schatten"", und nachdem Sie dieses Getränk probiert haben, werden Sie verstehen, warum. Danke, Kirby.)",,,,Brandy,Anisette,,,,,,,,,,,,,,1 1/2 oz ,1 1/2 oz ,,,,,,,,,,,,,,No,2017-08-22 19:19:43
293,Stinger,17193,,,,,,,"IBA,Classic",,Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,"Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.",,"In ein Mischglas mit Eis geben, umrühren und in ein Cocktailglas abseihen. Kann auch auf Eiswürfeln in einem Steinglas serviert werden.",,,,Brandy,White Creme de Menthe,,,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,,,,,,,,,,,,,,No,2017-09-02 12:40:33
294,Damned if you do,13194,,,,,,,,,Shot,,Alcoholic,Shot glass,Pour into shot glass. Put in mouth. Repeat as deemed necessary.,,In das Schnapsglas gießen. In den Mund nehmen. Bei Bedarf wiederholen.,,,,Whiskey,Hot Damn,,,,,,,,,,,,,,0.75 oz ,0.25 oz ,,,,,,,,,,,,,,No,2017-08-24 09:58:26
295,Owen's Grandmother's Revenge,13200,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,Add ingredients and mix in blender.,,Zutaten im Mixer vermengen.,,,,Whiskey,Beer,Lemonade,Ice,,,,,,,,,,,,12 oz ,12 oz ,12 oz frozen ,1 cup crushed ,,,,,,,,,,,,No,2017-08-24 10:02:02
296,Affinity,17840,,Afinidad,Affinität,Affinité,亲和,親和,,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",,"In einem Mischglas, das halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut umrühren. In ein Cocktailglas abseihen.",,,,Scotch,Sweet Vermouth,Dry Vermouth,Orange bitters,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,2 dashes ,,,,,,,,,,,,Yes,2017-09-07 21:44:05
297,Balmoral,11060,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",,"In einem Mischglas, das halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut umrühren. In ein Cocktailglas abseihen.",,,,Scotch,Sweet Vermouth,Dry Vermouth,Bitters,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,2 dashes ,,,,,,,,,,,,No,2015-09-02 16:04:57
298,Bobby Burns Cocktail,11121,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,,Alle Zutaten (außer Zitronenschale) mit Eis verrühren und in ein Cocktailglas abseihen. Die Zitronenschale hinzufügen und servieren.,,,,Sweet Vermouth,Scotch,Benedictine,Lemon peel,,,,,,,,,,,,1 1/2 oz ,1 1/2 oz ,1 1/4 tsp ,1 twist of ,,,,,,,,,,,,No,2017-01-14 16:33:28
299,Broadside,178311,,,,,,,,,Cocktail,,Alcoholic,Highball glass,"Half fill the glass with ice cubes. Crush the wormwood and add to ice. Pour rum, scotch and butters, then serve!",,,,,,151 proof rum,Scotch,Bitters,Wormwood,Ice,,,,,,,,,,,1 shot,1/2 shot,3 drops,1 Fresh,cubes,,,,,,,,,,,Yes,
300,Dry Rob Roy,11324,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the Scotch and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.",,"In einem Mischglas, das halb mit Eiswürfeln gefüllt ist, den Scotch mit Wermut kombinieren. Gut umrühren. In ein Cocktailglas abseihen. Mit der Zitronenscheibe garnieren.",,,,Scotch,Dry Vermouth,Lemon peel,,,,,,,,,,,,,2 1/2 oz ,1 1/2 tsp ,1 twist of ,,,,,,,,,,,,,No,
301,Flying Scotchman,11369,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",,"Alle Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.",,,,Scotch,Sweet Vermouth,Bitters,Sugar syrup,,,,,,,,,,,,1 oz ,1 oz ,1 dash ,1/4 tsp ,,,,,,,,,,,,Yes,2017-09-04 11:14:00
